Site, Line, Product, Date Time, Adaptive Length, Caliper Length, Color; L, Diameter; Avg, External Measurement Weight 0, Height; Avg, Max Edge Fat Width, Single Caliper Width, Tail Length, Total Fat Percent Area, Total Fat Top Area,% Compliance Weight,% Compliance Thickness
Generic Butcher Company,Generic, 13 oz Ribeye Tail On, 6/3/2024 7:16:28 AM, , , , ,16.76,1.62952,0.513377, ,1.11626, , , ,
Generic Butcher Company,Generic, 13 oz Ribeye Tail On, 6/3/2024 7:16:47 AM, , , , ,16.12,1.02086,0.573745, ,4.83435, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:17:36 AM, , , , ,16.34,1.03975,0.921001, ,0.936875, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:17:53 AM, , , , ,16.16,1.05378,0.827206, ,1.08492, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:18:08 AM, , , , ,16.12,1.03522,0.959347, ,0.867011, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:18:22 AM, , , , ,15.9,1.01356,0.885691, ,1.3708, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:18:36 AM, , , , ,16.62,1.00419,0.960677, ,1.20554, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:18:49 AM, , , , ,15.58,1.01843,0.811304, ,0.759711, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:19:08 AM, , , , ,16.38,1.07111,0.618148, ,1.04909, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:19:21 AM, , , , ,15.66,0.991136,0.658424, ,0.653533, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:19:37 AM, , , , ,15.09,1.07305,0.89937, ,1.55427, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 7:27:34 AM, , , , ,15.62,1.37057,1.18103, ,1.30516, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:05:29 AM, , , , ,15.8,1.0947,0.853227, ,1.07892, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:05:42 AM, , , , ,16.2,1.11515,0.685234, ,1.95492, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:06:05 AM, , , , ,15.2,1.08572,0.519124, ,1.40858, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:06:19 AM, , , , ,16,1.14833,0.434168, ,1.64611, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:07:16 AM, , , , ,16.62,1.03447,0.926446, ,2.20518, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:07:31 AM, , , , ,15.66,1.09339,0.108946, ,4.7727, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:07:44 AM, , , , ,15,1.06381,1.00336, ,1.94369, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:08:15 AM, , , , ,15.88,1.01017,0.806637, ,1.86395, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:08:33 AM, , , , ,16.4,1.07763,0.815486, , , , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:08:48 AM, , , , ,16.6,1.07375,0.73533, ,1.43596, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:09:05 AM, , , , ,16.1,1.08181,0.498476, ,1.40072, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:09:19 AM, , , , ,15,0.961903,0.671362, ,1.38719, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:09:57 AM, , , , ,16.1,0.989758,0.697282, ,1.62213, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:10:06 AM, , , , ,16.66,0.942339,0.809605, ,1.5087, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:10:41 AM, , , , ,15.36,0.962817,0.795738, ,1.604, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:13:59 AM, , , , ,17,1.05397,0.752979, ,1.45319, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:14:14 AM, , , , ,15.38,0.993524,0.93655, ,1.78961, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:14:27 AM, , , , ,16.6,1.03628,0.629441, ,1.59941, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:14:41 AM, , , , ,17.02,1.3078,0.574598, ,2.99937, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:14:54 AM, , , , ,15.98,1.26051,0.588233, ,2.01541, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:15:12 AM, , , , ,16.85,1.1745,0.195854, ,1.97382, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:15:32 AM, , , , ,15.45,1.03842,0.517072, ,1.13136, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:15:46 AM, , , , ,16.4,1.00924,0.655229, ,1.84533, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:16:33 AM, , , , ,15,1.01118,0.55395, ,1.31266, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:16:47 AM, , , , ,16.3,0.969533,0.722072, ,2.03263, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:17:02 AM, , , , ,15.64,0.975816,0.646754, ,0.796585, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:17:15 AM, , , , ,16.6,1.03128,0.649997, ,1.73386, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:17:31 AM, , , , ,15.9,1.03017,0.708553, ,1.45561, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:18:27 AM, , , , ,16.16,1.12596,0.519105, ,1.7121, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:18:40 AM, , , , ,16,1.1346,0.819253, ,1.5477, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:18:53 AM, , , , ,16.35,1.18302,1.04704, ,1.38141, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:19:09 AM, , , , ,15.64,1.16562,0.490564, ,2.84948, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:19:24 AM, , , , ,16.28,1.16998,0.688881, ,1.37636, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:19:51 AM, , , , ,15,1.18487,0.844712, ,0.413033, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:20:05 AM, , , , ,16.72,1.24283,0.872835, ,1.57346, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:20:19 AM, , , , ,16.24,1.16016,0.787547, ,1.28711, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:20:32 AM, , , , ,15.7,1.19427,0.443551, ,0.624774, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:27:02 AM, , , , ,15.26,1.15779,0.550023, ,0.376205, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:27:15 AM, , , , ,17.02,1.25107,0.734697, ,1.73914, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:27:29 AM, , , , ,16.62,1.40303,0.740066, ,1.34553, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 8:27:49 AM, , , , ,16.3,1.45034,0.991848, ,2.15393, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:07:01 AM, , , , ,15,1.36485,1.08436, ,1.585, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:07:20 AM, , , , ,15.64,1.31219,0.689544, ,1.32638, , , ,
Generic Butcher Company,Generic, 16 oz Ribeye Tail On, 6/3/2024 9:07:48 AM, , , , ,16.36,1.3181,0.442711, ,3.01639, , , ,
