product,date_time,external_measurement_weight,height_avg
13 oz  Ribeye Tail A,2024-06-03 07:16:28,16.76,1.62952
13 oz  Ribeye Tail A,2024-06-03 07:16:47,16.12,1.02086
16 oz  Ribeye Tail A,2024-06-03 07:17:36,16.34,1.03975
16 oz  Ribeye Tail A,2024-06-03 07:17:53,16.16,1.05378
16 oz  Ribeye Tail A,2024-06-03 07:18:08,16.12,1.03522
16 oz  Ribeye Tail A,2024-06-03 07:18:22,15.9,1.01356
16 oz  Ribeye Tail A,2024-06-03 07:18:36,16.62,1.00419
16 oz  Ribeye Tail A,2024-06-03 07:18:49,15.58,1.01843
16 oz  Ribeye Tail A,2024-06-03 07:19:08,16.38,1.07111
16 oz  Ribeye Tail A,2024-06-03 07:19:21,15.66,0.991136
16 oz  Ribeye Tail A,2024-06-03 07:19:37,15.09,1.07305
16 oz  Ribeye Tail A,2024-06-03 07:27:34,15.62,1.37057
16 oz  Ribeye Tail A,2024-06-03 08:05:29,15.8,1.0947
16 oz  Ribeye Tail A,2024-06-03 08:05:42,16.2,1.11515
16 oz  Ribeye Tail A,2024-06-03 08:06:05,15.2,1.08572
16 oz  Ribeye Tail A,2024-06-03 08:06:19,16.0,1.14833
16 oz  Ribeye Tail A,2024-06-03 08:07:16,16.62,1.03447
16 oz  Ribeye Tail A,2024-06-03 08:07:31,15.66,1.09339
16 oz  Ribeye Tail A,2024-06-03 08:07:44,15.0,1.06381
16 oz  Ribeye Tail A,2024-06-03 08:08:15,15.88,1.01017
16 oz  Ribeye Tail A,2024-06-03 08:08:33,16.4,1.07763
16 oz  Ribeye Tail A,2024-06-03 08:08:48,16.6,1.07375
16 oz  Ribeye Tail A,2024-06-03 08:09:05,16.1,1.08181
16 oz  Ribeye Tail A,2024-06-03 08:09:19,15.0,0.961903
16 oz  Ribeye Tail A,2024-06-03 08:09:57,16.1,0.989758
16 oz  Ribeye Tail A,2024-06-03 08:10:06,16.66,0.942339
16 oz  Ribeye Tail A,2024-06-03 08:10:41,15.36,0.962817
16 oz  Ribeye Tail A,2024-06-03 08:13:59,17.0,1.05397
16 oz  Ribeye Tail A,2024-06-03 08:14:14,15.38,0.993524
16 oz  Ribeye Tail A,2024-06-03 08:14:27,16.6,1.03628
16 oz  Ribeye Tail A,2024-06-03 08:14:41,17.02,1.3078
16 oz  Ribeye Tail A,2024-06-03 08:14:54,15.98,1.26051
16 oz  Ribeye Tail A,2024-06-03 08:15:12,16.85,1.1745
16 oz  Ribeye Tail A,2024-06-03 08:15:32,15.45,1.03842
16 oz  Ribeye Tail A,2024-06-03 08:15:46,16.4,1.00924
16 oz  Ribeye Tail A,2024-06-03 08:16:33,15.0,1.01118
16 oz  Ribeye Tail A,2024-06-03 08:16:47,16.3,0.969533
16 oz  Ribeye Tail A,2024-06-03 08:17:02,15.64,0.975816
16 oz  Ribeye Tail A,2024-06-03 08:17:15,16.6,1.03128
16 oz  Ribeye Tail A,2024-06-03 08:17:31,15.9,1.03017
16 oz  Ribeye Tail A,2024-06-03 08:18:27,16.16,1.12596
16 oz  Ribeye Tail A,2024-06-03 08:18:40,16.0,1.1346
16 oz  Ribeye Tail A,2024-06-03 08:18:53,16.35,1.18302
16 oz  Ribeye Tail A,2024-06-03 08:19:09,15.64,1.16562
16 oz  Ribeye Tail A,2024-06-03 08:19:24,16.28,1.16998
16 oz  Ribeye Tail A,2024-06-03 08:19:51,15.0,1.18487
16 oz  Ribeye Tail A,2024-06-03 08:20:05,16.72,1.24283
16 oz  Ribeye Tail A,2024-06-03 08:20:19,16.24,1.16016
16 oz  Ribeye Tail A,2024-06-03 08:20:32,15.7,1.19427
16 oz  Ribeye Tail A,2024-06-03 08:27:02,15.26,1.15779
16 oz  Ribeye Tail A,2024-06-03 08:27:15,17.02,1.25107
16 oz  Ribeye Tail A,2024-06-03 08:27:29,16.62,1.40303
16 oz  Ribeye Tail A,2024-06-03 08:27:49,16.3,1.45034
16 oz  Ribeye Tail A,2024-06-03 09:07:01,15.0,1.36485
16 oz  Ribeye Tail A,2024-06-03 09:07:20,15.64,1.31219
16 oz  Ribeye Tail A,2024-06-03 09:07:48,16.36,1.3181
16 oz  Ribeye Tail A,2024-06-03 09:08:11,15.66,1.28958
16 oz  Ribeye Tail A,2024-06-03 09:25:24,15.0,1.12222
16 oz  Ribeye Tail A,2024-06-03 09:25:31,15.46,1.02254
16 oz  Ribeye Tail A,2024-06-03 09:25:38,15.06,1.08192
16 oz  Ribeye Tail A,2024-06-03 09:25:45,17.9,1.13155
16 oz  Ribeye Tail A,2024-06-03 09:25:51,17.0,1.14812
16 oz  Ribeye Tail A,2024-06-03 09:25:58,16.22,1.15421
16 oz  Ribeye Tail A,2024-06-03 09:26:05,16.32,1.04516
16 oz  Ribeye Tail A,2024-06-03 09:26:13,15.56,1.12315
16 oz  Ribeye Tail A,2024-06-03 09:26:23,16.58,1.06106
16 oz  Ribeye Tail A,2024-06-03 09:26:30,16.58,1.12025
16 oz  Ribeye Tail A,2024-06-03 09:26:39,15.54,1.1168
16 oz  Ribeye Tail A,2024-06-03 09:26:46,16.58,1.11423
16 oz  Ribeye Tail A,2024-06-03 09:26:55,15.06,1.06382
16 oz  Ribeye Tail A,2024-06-03 09:27:05,16.28,1.21947
16 oz  Ribeye Tail A,2024-06-03 09:27:31,16.0,1.13868
16 oz  Ribeye Tail A,2024-06-03 09:27:42,16.14,1.14087
16 oz  Ribeye Tail A,2024-06-03 10:06:30,17.02,1.16655
16 oz  Ribeye Tail A,2024-06-03 10:06:39,15.84,1.14443
16 oz  Ribeye Tail A,2024-06-03 10:06:50,16.14,1.16156
16 oz  Ribeye Tail A,2024-06-03 10:06:58,15.84,1.18959
16 oz  Ribeye Tail A,2024-06-03 10:08:22,15.22,1.11483
16 oz  Ribeye Tail A,2024-06-03 10:08:34,15.0,0.992271
16 oz  Ribeye Tail A,2024-06-03 10:08:42,15.62,0.966914
16 oz  Ribeye Tail A,2024-06-03 10:08:51,16.12,0.995567
16 oz  Ribeye Tail A,2024-06-03 10:08:59,16.24,1.01859
16 oz  Ribeye Tail A,2024-06-03 10:09:07,16.34,1.04862
16 oz  Ribeye Tail A,2024-06-03 10:09:15,16.38,1.01093
16 oz  Ribeye Tail A,2024-06-03 10:09:23,15.68,1.11136
16 oz  Ribeye Tail A,2024-06-03 10:09:44,15.54,1.18787
16 oz  Ribeye Tail A,2024-06-03 10:09:54,16.58,0.993793
16 oz  Ribeye Tail A,2024-06-03 10:10:01,16.54,1.0636
16 oz  Ribeye Tail A,2024-06-03 10:10:10,15.09,0.954747
16 oz  Ribeye Tail A,2024-06-03 10:10:19,15.28,0.991578
16 oz  Ribeye Tail A,2024-06-03 10:10:54,15.92,1.05711
